country_code,country_name,uner_total,uner_total_year,uner_female,uner_female_year,uner_male,uner_male_year
DOM,Dominican Republic,4.92766046780147,2024,4.8085804461404,2024.0,5.042324135918,2024.0
DZA,Algeria,1.56709141965647,2025,1.56047636944671,2022.0,2.67736112250759,2022.0
ECU,Ecuador,4.72380630473681,2023,3.16523749663284,2023.0,6.21452672056476,2023.0
EGY,"Egypt, Arab Rep.",3.51438630490104,2024,3.47823527839351,2024.0,3.54892267127579,2024.0
ERI,Eritrea,40.3848114013672,2022,43.5006294250488,2022.0,37.3257904052734,2022.0
ESP,Spain,1.23740005493164,2024,1.29106998443603,2024.0,1.18683004379273,2024.0
EST,Estonia,3.38803005218506,2024,3.4344699382782,2024.0,3.34387993812561,2024.0
ETH,Ethiopia,22.4551082752842,2024,25.0781283616171,2024.0,19.9201221981747,2024.0
FIN,Finland,1.76610004901886,2024,1.74961996078491,2024.0,1.78188002109528,2024.0
FJI,Fiji,2.3933629762562,2024,4.93310022354126,2016.0,0.822990000247955,2016.0
FRA,France,0.204429998993874,2024,0.025560000911355,2016.0,0.302419990301132,2016.0
FSM,"Micronesia, Fed. Sts.",23.0581179917808,2024,21.6294153591347,2024.0,24.4004906105689,2024.0
GAB,Gabon,28.7633020707587,2019,28.7251495130572,2019.0,28.8011663447378,2019.0
GBR,United Kingdom,0.0698399990797043,2023,0.266479998826981,2018.0,0.349480003118515,2018.0
GEO,Georgia,6.1671617003609,2024,5.88564415406274,2024.0,6.42974585164111,2024.0
GHA,Ghana,4.76691007614136,2024,4.07006978988647,2024.0,5.44820976257324,2024.0
GIB,Gibraltar,1.57990111317979,2024,21.3969001770019,1982.0,24.0681591033936,1982.0
GIN,Guinea,14.727840423584,2020,21.0616207122803,2020.0,8.55912971496582,2020.0
GMB,"Gambia, The",16.9105392406958,2025,10.2229955584047,2025.0,23.4710424536989,2025.0
GNB,Guinea-Bissau,30.5452404022217,2010,31.6712093353271,2010.0,29.4348106384277,2010.0
GNQ,Equatorial Guinea,65.5965194702148,2015,65.1724700927734,2015.0,66.0068511962891,2015.0
GRC,Greece,0.109679996967316,2023,3.96580004692078,2021.0,3.73397994041443,2021.0
GRD,Grenada,4.94078894748629,2024,4.6483704974271,2021.0,1.11934156378601,2021.0
GTM,Guatemala,8.43218740092781,2024,8.3632286043163,2024.0,8.49924088107357,2024.0
GUY,Guyana,17.9801578260599,2023,18.5274706797259,2023.0,17.4485546300833,2023.0
HIC,High income,2.5,2025,2.5,2025.0,2.59999990463257,2025.0
HKG,"Hong Kong SAR, China",1.40461574139064,2024,2.51833009719849,2007.0,1.15443003177643,2007.0
HND,Honduras,26.6201549791965,2024,25.5647263249348,2024.0,27.6268440940201,2024.0
HRV,Croatia,1.81183004379273,2023,2.0544900894165,2009.0,2.27539992332458,2009.0
HTI,Haiti,39.7853012084961,1997,41.0406494140625,1997.0,38.536319732666,1997.0
HUN,Hungary,2.8082799911499,2024,2.68409991264343,2024.0,2.92611002922058,2024.0
IDN,Indonesia,0.87680291868608,2025,9.60246082739228,2018.0,5.8936262519916,2018.0
IND,India,0.118825289035449,2025,1.61531880337606,2023.0,1.3356615716603,2023.0
IRL,Ireland,1.81272995471954,2022,0.526719987392426,2022.0,3.03460001945496,2022.0
IRN,"Iran, Islamic Rep.",0.10283999890089,2023,1.50320994853973,2020.0,2.13732004165649,2020.0
IRQ,Iraq,10.7205400466919,2007,16.7824096679688,2007.0,4.92554998397827,2007.0
ISL,Iceland,1.82071995735169,2023,1.76429998874664,2023.0,1.87478005886078,2023.0
ISR,Israel,2.66266989707947,2024,2.58671998977661,2024.0,2.7346498966217,2024.0
ITA,Italy,2.05615997314453,2023,2.16471004486084,2023.0,1.95355999469757,2023.0
